,LAeq,6.3 Hz,8 Hz,10 Hz,12.5 Hz,16 Hz,20 Hz,25 Hz,31.5 Hz,40 Hz,50 Hz,63 Hz,80 Hz,100 Hz,125 Hz,160 Hz,200 Hz,250 Hz,315 Hz,400 Hz,500 Hz,630 Hz,800 Hz,1 kHz,1.25 kHz,1.6 kHz,2 kHz,2.5 kHz,3.15 kHz,4 kHz,5 kHz,6.3 kHz,8 kHz,10 kHz,12.5 kHz,16 kHz,20 kHz
2023-03-25 13:45:00,45.65809,36.60335,37.693924,39.609272,42.394165,44.117085,45.023922,43.51139,44.194134,44.640488,41.9104,37.907776,35.736526,37.232883,38.757744,38.80245,38.9058,35.96672,35.949062,35.62408,36.305817,35.421944,36.3992,36.56665,34.52231,32.26446,29.752987,28.759306,27.985582,28.975616,26.02539,15.18694,10.699843,7.271847,7.373377,8.839965,9.630529
2023-03-25 14:00:00,45.94639,41.13469,41.819115,42.53479,44.23993,45.322536,46.200798,44.078575,44.011772,45.09288,43.55566,39.275887,37.13802,39.286423,40.432987,39.908783,41.573055,38.025085,38.161804,36.628334,36.4158,36.792206,37.888992,38.17698,35.825382,33.518387,30.362604,27.876476,27.051683,25.663872,21.627352,15.625655,10.655816,8.34604,8.037057,8.987439,9.66645
2023-03-25 14:15:00,48.087326,40.250626,41.160416,42.982273,44.552986,45.3967,46.51031,44.449547,44.575764,45.523785,43.745834,39.56167,37.697014,41.396008,40.7092,41.15382,42.1133,38.069286,39.0408,38.57795,38.145348,38.513714,39.177483,38.978455,36.84908,34.61382,32.296963,30.867065,31.095503,31.14835,27.255295,19.080126,12.427547,8.358065,7.9767146,8.941597,9.627248
2023-03-25 14:30:00,51.267117,39.109566,40.664566,43.49448,45.07625,46.263332,47.09684,45.09087,46.513332,47.757153,46.608265,43.79835,42.769306,45.22946,44.90026,45.644966,46.037083,43.62472,44.182102,43.63073,42.65144,42.10679,42.345104,41.744793,39.429512,36.74875,34.88755,32.54363,31.358194,30.433056,26.21435,19.488417,13.197441,9.297637,8.386649,8.976606,9.637874
2023-03-25 14:45:00,48.74795,35.47132,37.07453,39.157623,42.048367,44.16125,46.204548,44.623783,45.22222,45.87389,44.06934,40.6217,40.110313,42.37705,42.510624,43.59413,43.879894,39.831875,39.52427,39.103245,38.98854,39.279514,39.80087,40.01375,38.055088,35.50889,33.206146,30.91705,30.550798,30.463367,27.355347,20.697895,12.605326,8.136293,7.6099653,8.703976,9.553238
2023-03-25 15:00:00,50.702328,34.63434,36.638542,39.69052,43.235348,45.782467,47.680172,46.15427,46.191772,47.500484,46.290695,42.75337,42.377846,44.785538,45.806423,45.702152,45.902363,43.36703,43.13882,42.074654,41.94802,41.079758,40.924305,40.940903,38.79934,36.2929,34.495678,33.628403,34.63627,33.895348,30.523308,24.026163,16.989075,10.357335,8.6107855,8.9084635,9.496337
2023-03-25 15:15:00,46.954376,33.28078,34.944427,37.64743,41.003075,43.169792,44.94962,43.442986,44.021526,44.674515,42.554028,38.472588,35.870537,36.764515,38.02337,38.640953,39.83163,36.966145,37.197517,36.484028,36.87585,37.172985,38.054688,38.01184,35.981632,33.425434,31.310295,31.363506,32.42677,31.728464,29.078003,21.397638,14.933386,9.636717,8.206987,8.742509,9.439574
2023-03-25 15:30:00,45.707466,34.781387,36.24651,39.02667,41.874374,43.932796,45.157604,42.66132,43.71941,44.61052,42.417328,38.228508,37.377968,39.045452,39.195763,39.543297,42.213055,37.383263,37.156387,36.24974,37.54191,37.025433,37.064686,37.241978,34.861164,32.323734,29.939116,28.27894,27.057535,25.182457,22.410244,15.774744,11.33466,7.1422243,7.242435,8.644453,9.423056
2023-03-25 15:45:00,46.189445,34.501736,36.373386,38.919914,41.98078,44.050034,45.995106,44.53816,46.15073,46.618263,44.09458,40.97625,39.544582,41.191113,40.091198,40.810818,41.68288,38.26316,37.9996,36.86085,38.461372,37.518402,36.69467,36.46453,34.28908,31.982449,29.631302,28.45448,27.921753,25.964514,22.043203,16.120073,12.451897,8.711979,7.8457294,8.728194,9.434835
2023-03-25 16:00:00,44.415695,31.05106,33.9434,37.274616,40.830467,43.05361,44.950417,43.406425,44.56941,45.72045,43.35014,38.112465,37.842186,38.226112,36.31257,37.086025,38.86776,34.752953,34.70941,33.718334,36.512848,35.535797,34.168594,34.254253,32.043213,29.83342,28.315086,27.515312,27.706493,27.225548,23.47875,16.65216,10.901228,6.9962606,7.4158463,8.706041,9.432092
